"Geographic identifier code",FIPS,"Geographic area name","2012 NAICS code","Meaning of 2012 NAICS code",Year,"Number of establishments","Paid employees for pay period including March 12 (number)","First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US12061,12061,"Indian River County, Florida",0,"Total for all sectors",2013,3976,39372,328738,"$1,373,375 "
0500000US12063,12063,"Jackson County, Florida",0,"Total for all sectors",2013,767,8740,62577,"$255,993 "
0500000US12065,12065,"Jefferson County, Florida",0,"Total for all sectors",2013,239,1490,10170,"$43,843 "
0500000US12067,12067,"Lafayette County, Florida",0,"Total for all sectors",2013,94,762,4408,"$17,378 "
0500000US12069,12069,"Lake County, Florida",0,"Total for all sectors",2013,6526,70757,530492,"$2,221,735 "
0500000US12071,12071,"Lee County, Florida",0,"Total for all sectors",2013,16403,184629,1641176,"$6,545,111 "
0500000US12073,12073,"Leon County, Florida",0,"Total for all sectors",2013,7396,94117,859276,"$3,607,247 "
0500000US12075,12075,"Levy County, Florida",0,"Total for all sectors",2013,703,5121,34334,"$138,251 "
0500000US12077,12077,"Liberty County, Florida",0,"Total for all sectors",2013,79,1334,10223,"$39,644 "
0500000US12079,12079,"Madison County, Florida",0,"Total for all sectors",2013,298,2775,18452,"$75,712 "
0500000US12081,12081,"Manatee County, Florida",0,"Total for all sectors",2013,7925,85188,743175,"$3,029,926 "
0500000US12083,12083,"Marion County, Florida",0,"Total for all sectors",2013,6787,74910,608882,"$2,516,283 "
0500000US12085,12085,"Martin County, Florida",0,"Total for all sectors",2013,5141,49754,438386,"$1,829,498 "
0500000US12086,12086,"Miami-Dade County, Florida",0,"Total for all sectors",2013,78629,886497,9559845,"$38,829,327 "
0500000US12087,12087,"Monroe County, Florida",0,"Total for all sectors",2013,3615,29697,229109,"$936,431 "
0500000US12089,12089,"Nassau County, Florida",0,"Total for all sectors",2013,1648,15434,126872,"$530,546 "
0500000US12091,12091,"Okaloosa County, Florida",0,"Total for all sectors",2013,5031,58285,490388,"$2,043,732 "
0500000US12093,12093,"Okeechobee County, Florida",0,"Total for all sectors",2013,738,6486,47884,"$202,264 "
0500000US12095,12095,"Orange County, Florida",0,"Total for all sectors",2013,33317,640229,6520841,"$26,272,604 "
0500000US12097,12097,"Osceola County, Florida",0,"Total for all sectors",2013,5090,65594,481676,"$1,924,439 "
0500000US12099,12099,"Palm Beach County, Florida",0,"Total for all sectors",2013,44234,466399,5342872,"$21,087,161 "
0500000US12101,12101,"Pasco County, Florida",0,"Total for all sectors",2013,8784,84928,662425,"$2,746,819 "
0500000US12103,12103,"Pinellas County, Florida",0,"Total for all sectors",2013,26751,365099,3597840,"$14,852,327 "
0500000US12105,12105,"Polk County, Florida",0,"Total for all sectors",2013,10922,166924,1527975,"$6,175,506 "
0500000US12107,12107,"Putnam County, Florida",0,"Total for all sectors",2013,1232,11917,95097,"$391,630 "
0500000US12109,12109,"St. Johns County, Florida",0,"Total for all sectors",2013,5305,49016,419950,"$1,690,972 "
0500000US12111,12111,"St. Lucie County, Florida",0,"Total for all sectors",2013,5062,53629,461971,"$1,783,483 "
0500000US12113,12113,"Santa Rosa County, Florida",0,"Total for all sectors",2013,2469,22056,175967,"$735,483 "
0500000US12115,12115,"Sarasota County, Florida",0,"Total for all sectors",2013,12905,127514,1158493,"$4,740,636 "
0500000US12117,12117,"Seminole County, Florida",0,"Total for all sectors",2013,12639,152363,1483371,"$6,057,070 "
0500000US12119,12119,"Sumter County, Florida",0,"Total for all sectors",2013,1319,17523,141062,"$644,517 "
0500000US12121,12121,"Suwannee County, Florida",0,"Total for all sectors",2013,671,7738,51853,"$211,059 "
0500000US12123,12123,"Taylor County, Florida",0,"Total for all sectors",2013,401,4447,39128,"$165,695 "
0500000US12125,12125,"Union County, Florida",0,"Total for all sectors",2013,135,1822,14446,"$58,560 "
0500000US12127,12127,"Volusia County, Florida",0,"Total for all sectors",2013,11972,131926,1044781,"$4,306,261 "
0500000US12129,12129,"Wakulla County, Florida",0,"Total for all sectors",2013,413,3101,21637,"$88,586 "
0500000US12131,12131,"Walton County, Florida",0,"Total for all sectors",2013,1873,17445,119339,"$533,497 "
0500000US12133,12133,"Washington County, Florida",0,"Total for all sectors",2013,378,3751,26977,"$113,178 "
0500000US13001,13001,"Appling County, Georgia",0,"Total for all sectors",2013,364,5222,66768,"$227,065 "
0500000US13003,13003,"Atkinson County, Georgia",0,"Total for all sectors",2013,89,1115,8116,"$36,322 "
0500000US13005,13005,"Bacon County, Georgia",0,"Total for all sectors",2013,214,2553,17635,"$77,306 "
0500000US13007,13007,"Baker County, Georgia",0,"Total for all sectors",2013,23,218,1833,"$7,732 "
0500000US13009,13009,"Baldwin County, Georgia",0,"Total for all sectors",2013,815,12245,92189,"$396,605 "
0500000US13011,13011,"Banks County, Georgia",0,"Total for all sectors",2013,264,2947,16711,"$71,760 "
0500000US13013,13013,"Barrow County, Georgia",0,"Total for all sectors",2013,1072,13953,103380,"$437,200 "
0500000US13015,13015,"Bartow County, Georgia",0,"Total for all sectors",2013,1853,28229,256423,"$1,071,544 "
0500000US13017,13017,"Ben Hill County, Georgia",0,"Total for all sectors",2013,318,4597,32922,"$136,719 "
0500000US13019,13019,"Berrien County, Georgia",0,"Total for all sectors",2013,254,2815,23272,"$80,410 "
0500000US13021,13021,"Bibb County, Georgia",0,"Total for all sectors",2013,4060,71200,647810,"$2,592,161 "
0500000US13023,13023,"Bleckley County, Georgia",0,"Total for all sectors",2013,163,1469,8915,"$37,198 "
0500000US13025,13025,"Brantley County, Georgia",0,"Total for all sectors",2013,187,1232,8505,"$35,172 "
0500000US13027,13027,"Brooks County, Georgia",0,"Total for all sectors",2013,199,1986,13890,"$57,048 "
0500000US13029,13029,"Bryan County, Georgia",0,"Total for all sectors",2013,597,5686,36373,"$150,975 "
0500000US13031,13031,"Bulloch County, Georgia",0,"Total for all sectors",2013,1373,17227,111960,"$460,945 "
0500000US13033,13033,"Burke County, Georgia",0,"Total for all sectors",2013,300,4993,79069,"$272,938 "
0500000US13035,13035,"Butts County, Georgia",0,"Total for all sectors",2013,347,4048,28446,"$121,010 "
0500000US13037,13037,"Calhoun County, Georgia",0,"Total for all sectors",2013,74,725,4732,"$19,223 "
0500000US13039,13039,"Camden County, Georgia",0,"Total for all sectors",2013,792,8460,52094,"$213,166 "
0500000US13043,13043,"Candler County, Georgia",0,"Total for all sectors",2013,200,2182,14608,"$60,475 "
0500000US13045,13045,"Carroll County, Georgia",0,"Total for all sectors",2013,1988,31002,291940,"$1,211,846 "
0500000US13047,13047,"Catoosa County, Georgia",0,"Total for all sectors",2013,892,11569,86178,"$364,062 "
0500000US13049,13049,"Charlton County, Georgia",0,"Total for all sectors",2013,146,1804,13595,"$58,387 "
0500000US13051,13051,"Chatham County, Georgia",0,"Total for all sectors",2013,7229,120438,1157483,"$4,836,461 "
0500000US13053,13053,"Chattahoochee County, Georgia",0,"Total for all sectors",2013,97,1690,17065,"$64,601 "
0500000US13055,13055,"Chattooga County, Georgia",0,"Total for all sectors",2013,295,4390,30303,"$119,619 "
0500000US13057,13057,"Cherokee County, Georgia",0,"Total for all sectors",2013,4830,42481,321799,"$1,388,295 "
0500000US13059,13059,"Clarke County, Georgia",0,"Total for all sectors",2013,2912,44643,365617,"$1,557,832 "
0500000US13061,13061,"Clay County, Georgia",0,"Total for all sectors",2013,37,e,D,D
0500000US13063,13063,"Clayton County, Georgia",0,"Total for all sectors",2013,3767,70120,606347,"$2,504,131 "
0500000US13065,13065,"Clinch County, Georgia",0,"Total for all sectors",2013,127,1806,13232,"$53,371 "
0500000US13067,13067,"Cobb County, Georgia",0,"Total for all sectors",2013,19159,302767,3970963,"$15,453,059 "
0500000US13069,13069,"Coffee County, Georgia",0,"Total for all sectors",2013,830,11855,87271,"$361,211 "
0500000US13071,13071,"Colquitt County, Georgia",0,"Total for all sectors",2013,872,11360,79150,"$327,418 "
0500000US13073,13073,"Columbia County, Georgia",0,"Total for all sectors",2013,2092,26336,218305,"$892,306 "
0500000US13075,13075,"Cook County, Georgia",0,"Total for all sectors",2013,299,2782,17238,"$71,328 "
0500000US13077,13077,"Coweta County, Georgia",0,"Total for all sectors",2013,2109,28918,234904,"$1,001,209 "
0500000US13079,13079,"Crawford County, Georgia",0,"Total for all sectors",2013,101,548,4147,"$17,526 "
0500000US13081,13081,"Crisp County, Georgia",0,"Total for all sectors",2013,514,6614,50371,"$199,287 "
0500000US13083,13083,"Dade County, Georgia",0,"Total for all sectors",2013,214,2718,19779,"$80,037 "
0500000US13085,13085,"Dawson County, Georgia",0,"Total for all sectors",2013,588,6340,32763,"$139,621 "
0500000US13087,13087,"Decatur County, Georgia",0,"Total for all sectors",2013,578,6459,50544,"$204,124 "
0500000US13089,13089,"DeKalb County, Georgia",0,"Total for all sectors",2013,16052,260194,3308094,"$12,917,490 "
0500000US13091,13091,"Dodge County, Georgia",0,"Total for all sectors",2013,338,3507,23789,"$95,938 "
0500000US13093,13093,"Dooly County, Georgia",0,"Total for all sectors",2013,160,1935,13177,"$50,792 "
0500000US13095,13095,"Dougherty County, Georgia",0,"Total for all sectors",2013,2336,38273,328490,"$1,334,880 "
0500000US13097,13097,"Douglas County, Georgia",0,"Total for all sectors",2013,2392,33246,247343,"$1,050,685 "
0500000US13099,13099,"Early County, Georgia",0,"Total for all sectors",2013,211,2843,31786,"$132,366 "
0500000US13101,13101,"Echols County, Georgia",0,"Total for all sectors",2013,23,114,801,"$3,168 "
0500000US13103,13103,"Effingham County, Georgia",0,"Total for all sectors",2013,673,7394,69475,"$274,818 "
0500000US13105,13105,"Elbert County, Georgia",0,"Total for all sectors",2013,423,4505,32262,"$131,431 "
0500000US13107,13107,"Emanuel County, Georgia",0,"Total for all sectors",2013,385,4899,34627,"$133,116 "
0500000US13109,13109,"Evans County, Georgia",0,"Total for all sectors",2013,212,3744,24413,"$109,333 "
0500000US13111,13111,"Fannin County, Georgia",0,"Total for all sectors",2013,553,4496,28587,"$122,267 "
0500000US13113,13113,"Fayette County, Georgia",0,"Total for all sectors",2013,3182,38001,353899,"$1,446,880 "
0500000US13115,13115,"Floyd County, Georgia",0,"Total for all sectors",2013,1950,32861,287733,"$1,165,790 "
0500000US13117,13117,"Forsyth County, Georgia",0,"Total for all sectors",2013,5513,64358,675055,"$2,811,140 "
0500000US13119,13119,"Franklin County, Georgia",0,"Total for all sectors",2013,414,5869,44121,"$182,552 "
0500000US13121,13121,"Fulton County, Georgia",0,"Total for all sectors",2013,33874,723886,12693498,"$46,351,161 "
0500000US13123,13123,"Gilmer County, Georgia",0,"Total for all sectors",2013,522,5524,36786,"$152,775 "
0500000US13125,13125,"Glascock County, Georgia",0,"Total for all sectors",2013,22,c,D,D
0500000US13127,13127,"Glynn County, Georgia",0,"Total for all sectors",2013,2427,29435,238919,"$967,501 "
0500000US13129,13129,"Gordon County, Georgia",0,"Total for all sectors",2013,986,18965,157110,"$656,956 "
0500000US13131,13131,"Grady County, Georgia",0,"Total for all sectors",2013,402,3841,29446,"$121,782 "
0500000US13133,13133,"Greene County, Georgia",0,"Total for all sectors",2013,420,4549,31527,"$138,284 "
0500000US13135,13135,"Gwinnett County, Georgia",0,"Total for all sectors",2013,21547,305293,3461774,"$14,033,775 "
0500000US13137,13137,"Habersham County, Georgia",0,"Total for all sectors",2013,802,11576,83362,"$345,907 "
0500000US13139,13139,"Hall County, Georgia",0,"Total for all sectors",2013,3953,64743,637680,"$2,611,652 "
0500000US13141,13141,"Hancock County, Georgia",0,"Total for all sectors",2013,73,601,4474,"$18,045 "
0500000US13143,13143,"Haralson County, Georgia",0,"Total for all sectors",2013,441,5221,48253,"$190,035 "
0500000US13145,13145,"Harris County, Georgia",0,"Total for all sectors",2013,377,3921,25101,"$96,942 "
0500000US13147,13147,"Hart County, Georgia",0,"Total for all sectors",2013,393,5319,45602,"$192,626 "
0500000US13149,13149,"Heard County, Georgia",0,"Total for all sectors",2013,118,1181,11015,"$44,800 "
0500000US13151,13151,"Henry County, Georgia",0,"Total for all sectors",2013,3354,46159,346847,"$1,432,905 "
0500000US13153,13153,"Houston County, Georgia",0,"Total for all sectors",2013,2318,36198,287074,"$1,176,900 "
0500000US13155,13155,"Irwin County, Georgia",0,"Total for all sectors",2013,125,1727,13149,"$53,567 "
0500000US13157,13157,"Jackson County, Georgia",0,"Total for all sectors",2013,1162,16656,136244,"$595,383 "
0500000US13159,13159,"Jasper County, Georgia",0,"Total for all sectors",2013,147,1383,8508,"$35,456 "
0500000US13161,13161,"Jeff Davis County, Georgia",0,"Total for all sectors",2013,239,3344,24102,"$99,075 "
0500000US13163,13163,"Jefferson County, Georgia",0,"Total for all sectors",2013,300,3935,30993,"$127,533 "
0500000US13165,13165,"Jenkins County, Georgia",0,"Total for all sectors",2013,97,946,7104,"$28,186 "
0500000US13167,13167,"Johnson County, Georgia",0,"Total for all sectors",2013,120,994,6668,"$27,703 "
0500000US13169,13169,"Jones County, Georgia",0,"Total for all sectors",2013,315,2523,17927,"$74,233 "
0500000US13171,13171,"Lamar County, Georgia",0,"Total for all sectors",2013,234,2811,21866,"$84,691 "
0500000US13173,13173,"Lanier County, Georgia",0,"Total for all sectors",2013,92,757,4743,"$19,472 "
0500000US13175,13175,"Laurens County, Georgia",0,"Total for all sectors",2013,1037,14748,121115,"$506,761 "
0500000US13177,13177,"Lee County, Georgia",0,"Total for all sectors",2013,369,3810,26496,"$135,201 "
0500000US13179,13179,"Liberty County, Georgia",0,"Total for all sectors",2013,812,12380,110446,"$448,339 "
0500000US13181,13181,"Lincoln County, Georgia",0,"Total for all sectors",2013,135,935,5669,"$23,538 "
0500000US13183,13183,"Long County, Georgia",0,"Total for all sectors",2013,71,252,1288,"$5,282 "
0500000US13185,13185,"Lowndes County, Georgia",0,"Total for all sectors",2013,2640,38679,276446,"$1,149,139 "
0500000US13187,13187,"Lumpkin County, Georgia",0,"Total for all sectors",2013,506,4388,28227,"$121,892 "
0500000US13189,13189,"McDuffie County, Georgia",0,"Total for all sectors",2013,433,5938,41912,"$178,203 "
0500000US13191,13191,"McIntosh County, Georgia",0,"Total for all sectors",2013,184,1199,7160,"$28,870 "
0500000US13193,13193,"Macon County, Georgia",0,"Total for all sectors",2013,179,2194,19901,"$80,555 "
0500000US13195,13195,"Madison County, Georgia",0,"Total for all sectors",2013,355,2078,12828,"$52,796 "
0500000US13197,13197,"Marion County, Georgia",0,"Total for all sectors",2013,81,1357,9238,"$35,551 "
0500000US13199,13199,"Meriwether County, Georgia",0,"Total for all sectors",2013,302,3248,25621,"$101,864 "
0500000US13201,13201,"Miller County, Georgia",0,"Total for all sectors",2013,132,1066,7519,"$31,892 "
0500000US13205,13205,"Mitchell County, Georgia",0,"Total for all sectors",2013,365,5868,38573,"$156,262 "
0500000US13207,13207,"Monroe County, Georgia",0,"Total for all sectors",2013,507,6593,51559,"$204,655 "
0500000US13209,13209,"Montgomery County, Georgia",0,"Total for all sectors",2013,111,924,6294,"$24,781 "
0500000US13211,13211,"Morgan County, Georgia",0,"Total for all sectors",2013,445,5451,44638,"$189,570 "
0500000US13213,13213,"Murray County, Georgia",0,"Total for all sectors",2013,395,6831,50536,"$216,908 "
0500000US13215,13215,"Muscogee County, Georgia",0,"Total for all sectors",2013,4256,75855,747469,"$2,865,868 "
0500000US13217,13217,"Newton County, Georgia",0,"Total for all sectors",2013,1306,17729,153830,"$621,653 "
0500000US13219,13219,"Oconee County, Georgia",0,"Total for all sectors",2013,1000,9398,79888,"$321,473 "
0500000US13221,13221,"Oglethorpe County, Georgia",0,"Total for all sectors",2013,168,1046,5715,"$24,425 "
0500000US13223,13223,"Paulding County, Georgia",0,"Total for all sectors",2013,1716,15576,103721,"$434,693 "
0500000US13225,13225,"Peach County, Georgia",0,"Total for all sectors",2013,456,5767,43512,"$196,291 "
0500000US13227,13227,"Pickens County, Georgia",0,"Total for all sectors",2013,643,5890,47854,"$195,507 "
0500000US13229,13229,"Pierce County, Georgia",0,"Total for all sectors",2013,322,2930,20718,"$85,806 "
0500000US13231,13231,"Pike County, Georgia",0,"Total for all sectors",2013,240,1463,10134,"$42,556 "
0500000US13233,13233,"Polk County, Georgia",0,"Total for all sectors",2013,584,9161,76600,"$308,941 "
0500000US13235,13235,"Pulaski County, Georgia",0,"Total for all sectors",2013,173,1895,16289,"$64,611 "
0500000US13237,13237,"Putnam County, Georgia",0,"Total for all sectors",2013,396,4444,33568,"$133,534 "
0500000US13239,13239,"Quitman County, Georgia",0,"Total for all sectors",2013,38,231,1359,"$5,479 "
0500000US13241,13241,"Rabun County, Georgia",0,"Total for all sectors",2013,454,3987,25997,"$114,097 "
0500000US13243,13243,"Randolph County, Georgia",0,"Total for all sectors",2013,132,1384,10745,"$43,376 "
0500000US13245,13245,"Richmond County, Georgia",0,"Total for all sectors",2013,4313,85077,810967,"$3,313,438 "
0500000US13247,13247,"Rockdale County, Georgia",0,"Total for all sectors",2013,1927,28615,267149,"$1,138,260 "
0500000US13249,13249,"Schley County, Georgia",0,"Total for all sectors",2013,58,763,7184,"$29,619 "
0500000US13251,13251,"Screven County, Georgia",0,"Total for all sectors",2013,213,2384,16638,"$74,766 "
0500000US13253,13253,"Seminole County, Georgia",0,"Total for all sectors",2013,187,1559,11304,"$45,050 "
0500000US13255,13255,"Spalding County, Georgia",0,"Total for all sectors",2013,1117,16590,126787,"$523,951 "
0500000US13257,13257,"Stephens County, Georgia",0,"Total for all sectors",2013,544,7966,70654,"$270,857 "
0500000US13259,13259,"Stewart County, Georgia",0,"Total for all sectors",2013,62,787,5872,"$21,156 "
0500000US13261,13261,"Sumter County, Georgia",0,"Total for all sectors",2013,629,8951,62879,"$252,769 "
0500000US13263,13263,"Talbot County, Georgia",0,"Total for all sectors",2013,57,538,4438,"$18,419 "
0500000US13265,13265,"Taliaferro County, Georgia",0,"Total for all sectors",2013,17,45,316,"$1,262 "
0500000US13267,13267,"Tattnall County, Georgia",0,"Total for all sectors",2013,289,3016,22062,"$97,101 "
0500000US13269,13269,"Taylor County, Georgia",0,"Total for all sectors",2013,120,855,6584,"$28,106 "
0500000US13271,13271,"Telfair County, Georgia",0,"Total for all sectors",2013,190,3171,19653,"$68,221 "
0500000US13273,13273,"Terrell County, Georgia",0,"Total for all sectors",2013,164,1705,11538,"$49,616 "
0500000US13275,13275,"Thomas County, Georgia",0,"Total for all sectors",2013,1051,14947,148850,"$579,572 "
0500000US13277,13277,"Tift County, Georgia",0,"Total for all sectors",2013,1017,15454,128502,"$530,128 "
0500000US13279,13279,"Toombs County, Georgia",0,"Total for all sectors",2013,673,9231,73034,"$283,434 "
0500000US13281,13281,"Towns County, Georgia",0,"Total for all sectors",2013,285,2731,16164,"$68,614 "
0500000US13283,13283,"Treutlen County, Georgia",0,"Total for all sectors",2013,82,571,3332,"$13,868 "
0500000US13285,13285,"Troup County, Georgia",0,"Total for all sectors",2013,1410,33030,310731,"$1,301,138 "
0500000US13287,13287,"Turner County, Georgia",0,"Total for all sectors",2013,153,1392,9819,"$38,800 "
0500000US13289,13289,"Twiggs County, Georgia",0,"Total for all sectors",2013,75,1484,12967,"$50,840 "
0500000US13291,13291,"Union County, Georgia",0,"Total for all sectors",2013,531,4895,36361,"$151,623 "
0500000US13293,13293,"Upson County, Georgia",0,"Total for all sectors",2013,446,5903,45627,"$186,871 "
0500000US13295,13295,"Walker County, Georgia",0,"Total for all sectors",2013,707,9999,73004,"$299,527 "
0500000US13297,13297,"Walton County, Georgia",0,"Total for all sectors",2013,1520,15244,123729,"$519,036 "
0500000US13299,13299,"Ware County, Georgia",0,"Total for all sectors",2013,849,11477,86777,"$358,515 "
0500000US13301,13301,"Warren County, Georgia",0,"Total for all sectors",2013,65,599,4523,"$21,432 "
0500000US13303,13303,"Washington County, Georgia",0,"Total for all sectors",2013,336,5366,52663,"$206,032 "
0500000US13305,13305,"Wayne County, Georgia",0,"Total for all sectors",2013,538,5671,54842,"$212,055 "
0500000US13307,13307,"Webster County, Georgia",0,"Total for all sectors",2013,29,346,3421,"$13,118 "
0500000US13309,13309,"Wheeler County, Georgia",0,"Total for all sectors",2013,67,1011,8024,"$31,201 "
0500000US13311,13311,"White County, Georgia",0,"Total for all sectors",2013,584,5191,35762,"$149,026 "
0500000US13313,13313,"Whitfield County, Georgia",0,"Total for all sectors",2013,2175,46606,429217,"$1,737,073 "
0500000US13315,13315,"Wilcox County, Georgia",0,"Total for all sectors",2013,92,470,2901,"$13,510 "
0500000US13317,13317,"Wilkes County, Georgia",0,"Total for all sectors",2013,197,2235,15255,"$61,963 "
0500000US13319,13319,"Wilkinson County, Georgia",0,"Total for all sectors",2013,149,2049,25357,"$95,731 "
0500000US13321,13321,"Worth County, Georgia",0,"Total for all sectors",2013,282,2578,17220,"$69,901 "
0500000US15001,15001,"Hawaii County, Hawaii",0,"Total for all sectors",2013,3923,50266,421090,"$1,727,506 "
0500000US15003,15003,"Honolulu County, Hawaii",0,"Total for all sectors",2013,21173,347954,3548901,"$14,465,545 "
0500000US15005,15005,"Kalawao County, Hawaii",0,"Total for all sectors",2013,1,a,D,D
0500000US15007,15007,"Kauai County, Hawaii",0,"Total for all sectors",2013,1986,25186,218068,"$880,682 "
0500000US15009,15009,"Maui County, Hawaii",0,"Total for all sectors",2013,4409,60720,531523,"$2,162,184 "
0500000US16001,16001,"Ada County, Idaho",0,"Total for all sectors",2013,12216,174796,1780014,"$7,454,966 "
0500000US16003,16003,"Adams County, Idaho",0,"Total for all sectors",2013,115,455,2610,"$12,252 "
0500000US16005,16005,"Bannock County, Idaho",0,"Total for all sectors",2013,1953,23611,169490,"$713,724 "
0500000US16007,16007,"Bear Lake County, Idaho",0,"Total for all sectors",2013,117,938,5696,"$25,550 "
0500000US16009,16009,"Benewah County, Idaho",0,"Total for all sectors",2013,228,2190,18612,"$77,043 "
0500000US16011,16011,"Bingham County, Idaho",0,"Total for all sectors",2013,819,9700,78409,"$331,854 "
0500000US16013,16013,"Blaine County, Idaho",0,"Total for all sectors",2013,1339,10413,87992,"$378,044 "
0500000US16015,16015,"Boise County, Idaho",0,"Total for all sectors",2013,151,491,2121,"$11,761 "
0500000US16017,16017,"Bonner County, Idaho",0,"Total for all sectors",2013,1398,10977,90205,"$392,148 "
0500000US16019,16019,"Bonneville County, Idaho",0,"Total for all sectors",2013,3244,44031,399176,"$1,717,655 "
0500000US16021,16021,"Boundary County, Idaho",0,"Total for all sectors",2013,355,2340,14556,"$67,765 "
0500000US16023,16023,"Butte County, Idaho",0,"Total for all sectors",2013,59,f,D,D
0500000US16025,16025,"Camas County, Idaho",0,"Total for all sectors",2013,27,c,D,D
0500000US16027,16027,"Canyon County, Idaho",0,"Total for all sectors",2013,3627,45609,325305,"$1,389,733 "
0500000US16029,16029,"Caribou County, Idaho",0,"Total for all sectors",2013,193,2639,33842,"$152,763 "
0500000US16031,16031,"Cassia County, Idaho",0,"Total for all sectors",2013,644,7301,51911,"$223,841 "
0500000US16033,16033,"Clark County, Idaho",0,"Total for all sectors",2013,18,75,482,"$1,999 "
0500000US16035,16035,"Clearwater County, Idaho",0,"Total for all sectors",2013,229,1867,13459,"$62,160 "
0500000US16037,16037,"Custer County, Idaho",0,"Total for all sectors",2013,167,681,3865,"$19,715 "
0500000US16039,16039,"Elmore County, Idaho",0,"Total for all sectors",2013,431,3936,23163,"$103,524 "
0500000US16041,16041,"Franklin County, Idaho",0,"Total for all sectors",2013,281,1928,12252,"$52,802 "
0500000US16043,16043,"Fremont County, Idaho",0,"Total for all sectors",2013,272,1377,8001,"$40,029 "
0500000US16045,16045,"Gem County, Idaho",0,"Total for all sectors",2013,337,2154,12552,"$56,664 "
0500000US16047,16047,"Gooding County, Idaho",0,"Total for all sectors",2013,348,2498,18181,"$81,612 "
0500000US16049,16049,"Idaho County, Idaho",0,"Total for all sectors",2013,478,3292,25565,"$112,764 "
0500000US16051,16051,"Jefferson County, Idaho",0,"Total for all sectors",2013,430,3769,24645,"$108,312 "
0500000US16053,16053,"Jerome County, Idaho",0,"Total for all sectors",2013,524,5770,45057,"$192,153 "
0500000US16055,16055,"Kootenai County, Idaho",0,"Total for all sectors",2013,4345,44971,358336,"$1,564,029 "
0500000US16057,16057,"Latah County, Idaho",0,"Total for all sectors",2013,885,8299,52034,"$221,163 "
0500000US16059,16059,"Lemhi County, Idaho",0,"Total for all sectors",2013,289,1651,9226,"$43,200 "
0500000US16061,16061,"Lewis County, Idaho",0,"Total for all sectors",2013,121,763,4609,"$21,136 "
0500000US16063,16063,"Lincoln County, Idaho",0,"Total for all sectors",2013,87,635,4473,"$20,771 "
0500000US16065,16065,"Madison County, Idaho",0,"Total for all sectors",2013,757,14065,73961,"$318,372 "
0500000US16067,16067,"Minidoka County, Idaho",0,"Total for all sectors",2013,403,4355,36266,"$155,857 "
0500000US16069,16069,"Nez Perce County, Idaho",0,"Total for all sectors",2013,1110,16434,145429,"$599,690 "
0500000US16071,16071,"Oneida County, Idaho",0,"Total for all sectors",2013,88,692,4263,"$18,429 "
0500000US16073,16073,"Owyhee County, Idaho",0,"Total for all sectors",2013,181,1612,8171,"$43,354 "
0500000US16075,16075,"Payette County, Idaho",0,"Total for all sectors",2013,483,4326,31712,"$133,975 "
0500000US16077,16077,"Power County, Idaho",0,"Total for all sectors",2013,150,2027,16444,"$69,627 "
0500000US16079,16079,"Shoshone County, Idaho",0,"Total for all sectors",2013,355,4166,42363,"$176,230 "
0500000US16081,16081,"Teton County, Idaho",0,"Total for all sectors",2013,418,1882,13603,"$68,749 "
0500000US16083,16083,"Twin Falls County, Idaho",0,"Total for all sectors",2013,2455,27449,198668,"$850,825 "
0500000US16085,16085,"Valley County, Idaho",0,"Total for all sectors",2013,567,2927,19255,"$85,901 "
0500000US16087,16087,"Washington County, Idaho",0,"Total for all sectors",2013,218,1664,10134,"$47,518 "
0500000US17001,17001,"Adams County, Illinois",0,"Total for all sectors",2013,1833,31182,294241,"$1,225,491 "
0500000US17003,17003,"Alexander County, Illinois",0,"Total for all sectors",2013,107,1037,8859,"$37,567 "
0500000US17005,17005,"Bond County, Illinois",0,"Total for all sectors",2013,303,3825,30625,"$119,782 "
0500000US17007,17007,"Boone County, Illinois",0,"Total for all sectors",2013,847,15398,152241,"$643,573 "
0500000US17009,17009,"Brown County, Illinois",0,"Total for all sectors",2013,116,2988,28484,"$123,400 "
0500000US17011,17011,"Bureau County, Illinois",0,"Total for all sectors",2013,768,9484,83098,"$357,584 "
0500000US17013,17013,"Calhoun County, Illinois",0,"Total for all sectors",2013,93,605,2911,"$12,452 "
0500000US17015,17015,"Carroll County, Illinois",0,"Total for all sectors",2013,399,3198,24407,"$104,355 "
0500000US17017,17017,"Cass County, Illinois",0,"Total for all sectors",2013,254,4471,37812,"$154,616 "
0500000US17019,17019,"Champaign County, Illinois",0,"Total for all sectors",2013,4133,67335,614548,"$2,481,209 "
0500000US17021,17021,"Christian County, Illinois",0,"Total for all sectors",2013,718,8699,69507,"$282,875 "
0500000US17023,17023,"Clark County, Illinois",0,"Total for all sectors",2013,334,3763,27530,"$119,909 "
0500000US17025,17025,"Clay County, Illinois",0,"Total for all sectors",2013,364,4555,37358,"$153,643 "
0500000US17027,17027,"Clinton County, Illinois",0,"Total for all sectors",2013,880,8679,58527,"$256,420 "
0500000US17029,17029,"Coles County, Illinois",0,"Total for all sectors",2013,1186,17476,144547,"$597,775 "
0500000US17031,17031,"Cook County, Illinois",0,"Total for all sectors",2013,129972,2286711,33361800,"$128,494,213 "
0500000US17033,17033,"Crawford County, Illinois",0,"Total for all sectors",2013,427,6607,58588,"$266,983 "
0500000US17035,17035,"Cumberland County, Illinois",0,"Total for all sectors",2013,178,1657,12130,"$46,247 "
0500000US17037,17037,"DeKalb County, Illinois",0,"Total for all sectors",2013,1959,26056,215363,"$912,305 "
