"Geographic identifier code",FIPS,"Geographic area name","2012 NAICS code","Meaning of 2012 NAICS code",Year,"Number of establishments","Paid employees for pay period including March 12 (number)","First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US17175,17175,"Stark County, Illinois",0,"Total for all sectors",2013,117,998,7693,"$34,504 "
0500000US17177,17177,"Stephenson County, Illinois",0,"Total for all sectors",2013,1087,15212,144822,"$585,570 "
0500000US17179,17179,"Tazewell County, Illinois",0,"Total for all sectors",2013,2799,44972,401441,"$1,654,499 "
0500000US17181,17181,"Union County, Illinois",0,"Total for all sectors",2013,342,3382,21541,"$88,416 "
0500000US17183,17183,"Vermilion County, Illinois",0,"Total for all sectors",2013,1460,23526,248453,"$886,774 "
0500000US17185,17185,"Wabash County, Illinois",0,"Total for all sectors",2013,267,2824,24063,"$101,336 "
0500000US17187,17187,"Warren County, Illinois",0,"Total for all sectors",2013,353,5693,38025,"$158,603 "
0500000US17189,17189,"Washington County, Illinois",0,"Total for all sectors",2013,385,4671,39207,"$173,732 "
0500000US17191,17191,"Wayne County, Illinois",0,"Total for all sectors",2013,378,3472,24856,"$106,241 "
0500000US17193,17193,"White County, Illinois",0,"Total for all sectors",2013,381,3410,28868,"$122,783 "
0500000US17195,17195,"Whiteside County, Illinois",0,"Total for all sectors",2013,1244,17674,148307,"$608,933 "
0500000US17197,17197,"Will County, Illinois",0,"Total for all sectors",2013,14384,204956,1956418,"$8,307,949 "
0500000US17199,17199,"Williamson County, Illinois",0,"Total for all sectors",2013,1595,22792,189238,"$796,828 "
0500000US17201,17201,"Winnebago County, Illinois",0,"Total for all sectors",2013,6481,116977,1142381,"$4,677,579 "
0500000US17203,17203,"Woodford County, Illinois",0,"Total for all sectors",2013,759,8969,74704,"$327,053 "
0500000US18001,18001,"Adams County, Indiana",0,"Total for all sectors",2013,713,11483,88026,"$365,489 "
0500000US18003,18003,"Allen County, Indiana",0,"Total for all sectors",2013,9044,161708,1671813,"$6,471,832 "
0500000US18005,18005,"Bartholomew County, Indiana",0,"Total for all sectors",2013,1827,43638,535655,"$1,954,113 "
0500000US18007,18007,"Benton County, Indiana",0,"Total for all sectors",2013,188,1443,10959,"$48,314 "
0500000US18009,18009,"Blackford County, Indiana",0,"Total for all sectors",2013,232,2718,23928,"$89,497 "
0500000US18011,18011,"Boone County, Indiana",0,"Total for all sectors",2013,1414,20400,170197,"$723,886 "
0500000US18013,18013,"Brown County, Indiana",0,"Total for all sectors",2013,349,1982,9461,"$46,141 "
0500000US18015,18015,"Carroll County, Indiana",0,"Total for all sectors",2013,380,4464,32918,"$141,957 "
0500000US18017,18017,"Cass County, Indiana",0,"Total for all sectors",2013,742,12379,94833,"$397,256 "
0500000US18019,18019,"Clark County, Indiana",0,"Total for all sectors",2013,2405,44691,366503,"$1,536,301 "
0500000US18021,18021,"Clay County, Indiana",0,"Total for all sectors",2013,469,5735,39833,"$168,138 "
0500000US18023,18023,"Clinton County, Indiana",0,"Total for all sectors",2013,577,9225,77559,"$313,333 "
0500000US18025,18025,"Crawford County, Indiana",0,"Total for all sectors",2013,125,1346,8085,"$35,693 "
0500000US18027,18027,"Daviess County, Indiana",0,"Total for all sectors",2013,865,10143,78477,"$334,404 "
0500000US18029,18029,"Dearborn County, Indiana",0,"Total for all sectors",2013,908,13630,106603,"$415,103 "
0500000US18031,18031,"Decatur County, Indiana",0,"Total for all sectors",2013,624,11818,104027,"$443,643 "
0500000US18033,18033,"DeKalb County, Indiana",0,"Total for all sectors",2013,985,18643,183612,"$756,781 "
0500000US18035,18035,"Delaware County, Indiana",0,"Total for all sectors",2013,2321,37892,308604,"$1,281,287 "
0500000US18037,18037,"Dubois County, Indiana",0,"Total for all sectors",2013,1295,25617,244908,"$995,325 "
0500000US18039,18039,"Elkhart County, Indiana",0,"Total for all sectors",2013,4853,112276,1076607,"$4,523,429 "
